,place_name,place_id,lat,lng,type
166,Marie Hair,ChIJtQV0dQqrswcRUFredEXhCcg,-5.7650329,-35.2767961,beauty_salon
167,Bella Dama,ChIJL7lKgGxVsgcRWs8Te364Doo,-5.8254788,-35.2342455,beauty_salon
168,Diana Leite Makes,ChIJN_KLtaerswcRIzYa2V2G7GI,-5.764534999999999,-35.270166,beauty_salon
169,Cooperativa Cultural,ChIJr7JihIv_sgcRHfs6GXDXiFA,-5.839683600000001,-35.2001316,book_store
170,Library Board Krab,ChIJU1VVrXMAswcR9MVYQ5k5eOY,-5.782821099999999,-35.20568069999999,book_store
171,Mídia de Rua,ChIJSSudMVtVsgcRm_AGBZsDZvs,-5.815928,-35.2255397,book_store
172,The House of the College Bookstore and Stationery,ChIJTS3m-wcAswcRKuVAg92bcZA,-5.7947317,-35.2154463,book_store
173,Revistaria Olhos de Luz,ChIJDW5spfP_sgcRl3NQBkGfxiU,-5.8202245,-35.2074644,book_store
174,Livraria Moderna,ChIJ_f__bwwAswcR2f9zUnwxOv8,-5.7896212,-35.2082904,book_store
175,SEBO KERO LIVROS,ChIJJ1yApXMAswcRvzihV-kN0d4,-5.78494,-35.207297,book_store
176,Sebo Café,ChIJU--dU3IAswcRmPElaAl8p9c,-5.7846893,-35.2069979,book_store
177,Sebo Passarim,ChIJlyzT8qmqswcRtneJlxuwrro,-5.8062479,-35.21474389999999,book_store
178,Gilgal Livraria Evangélica,ChIJYelljYv_sgcRph6p8aX8fME,-5.8407727,-35.2094683,book_store
179,GILGAL LIVRARIA EVANGÉLICA,ChIJxa0ywgtXsgcR_6qQk5jJD5I,-5.917834399999998,-35.2618281,book_store
180,Livraria Independência,ChIJUS_2yqeqswcR2URYcAs4sg8,-5.794293299999999,-35.2165309,book_store
181,Livraria Arco Íris,ChIJBwAAEHMAswcR0iaIogPmm2U,-5.7829522,-35.2052921,book_store
182,Livraria Confiança,ChIJz8dYyqeqswcR3zhnUS7AnmM,-5.800083000000001,-35.221944,book_store
183,Livraria Progresso Mundial,ChIJpe4zUKmrswcRirbyRa3iG2M,-5.763200900000001,-35.2618719,book_store
184,BooKafé Macaíba,ChIJReW0fjFSsgcRQ6eJz02O_R0,-5.854036900000001,-35.3519453,book_store
185,Livraria Câmara Cascudo,ChIJjf__twtXsgcRKkLPd9vd9O4,-5.9172366,-35.2607599,book_store
186,Gilgal Livraria Evangelica,ChIJt82rVnIAswcR5ivFgH9ep_g,-5.7882387,-35.2079566,book_store
